,TF
1675,Zfp397
1676,Zkscan16
1677,Zfp420
1678,Zfp707
1679,Zfp606
1680,Zkscan3
1681,Zkscan4
1682,Zfp566
1683,9130019O22Rik
1684,E430018J23Rik
1685,Zfp747
1686,Zfp764
1687,Zfp287
1688,Zfp558
1689,Zfp949
1690,Zfp251
1691,Gm13212
1692,Zfp760
1693,Zfp334
1694,Zkscan7
1695,Rbak
1696,Prdm10
1697,Zfp651
1698,Zbtb39
1699,Zfpm1
1700,Zfp646
1701,Zfp507
1702,Zfp280d
1703,Peg3
1704,Zbtb38
1705,Zfp592
1706,Zfp532
1707,Apex1
1708,Ctbp1
1709,Banp
1710,Crtc2
1711,Carf
1712,Dnttip1
1713,Sfpq
1714,Lin28a
1715,Ash2l
1716,Vps72
1717,Zdhhc24
1718,Abl1
1719,Fank1
1720,Zeb2
