Geneid,SC2,SC2yuan,SC3,SC3yuan
ENSMUSG00000101476,5,0,1,0
ENSMUSG00000119076,0,0,0,0
ENSMUSG00000101171,2,4,3,7
ENSMUSG00000025935,1542,1097,1355,1319
ENSMUSG00000025937,550,102,472,60
ENSMUSG00000102982,32,1,27,0
ENSMUSG00000067813,0,0,0,0
ENSMUSG00000077368,0,0,0,0
ENSMUSG00000097711,2,0,0,0
ENSMUSG00000102166,0,0,0,0
ENSMUSG00000104209,0,0,0,0
ENSMUSG00000025932,0,7,0,9
ENSMUSG00000102588,0,0,0,0
ENSMUSG00000054493,0,0,0,0
ENSMUSG00000025930,0,0,0,1
ENSMUSG00000103492,0,0,0,0
ENSMUSG00000081201,9,67,12,85
ENSMUSG00000082193,121,157,181,152
ENSMUSG00000032769,0,0,0,0
ENSMUSG00000088159,0,0,0,0
ENSMUSG00000073737,13,9,3,6
ENSMUSG00000092083,0,0,0,0
ENSMUSG00000102937,0,0,0,0
ENSMUSG00000104149,3,0,6,0
ENSMUSG00000088829,0,0,0,0
ENSMUSG00000077377,0,0,0,0
ENSMUSG00000101652,0,0,0,0
ENSMUSG00000100814,0,0,0,0
ENSMUSG00000025925,329,108,286,104
ENSMUSG00000104379,1,0,1,0
ENSMUSG00000032719,1,21,0,7
ENSMUSG00000100652,0,3,0,3
ENSMUSG00000067795,2,5,0,7
ENSMUSG00000043716,5356,802,4579,831
ENSMUSG00000025921,156,292,145,443
ENSMUSG00000104165,0,0,0,0
ENSMUSG00000100868,0,0,3,0
ENSMUSG00000025920,568,135,567,168
ENSMUSG00000089982,0,0,1,0
ENSMUSG00000025939,418,471,429,542
ENSMUSG00000102457,1,3,3,3
ENSMUSG00000079658,638,214,748,306
ENSMUSG00000097744,2,0,1,0
ENSMUSG00000100959,0,1,0,5
ENSMUSG00000025940,690,62,664,85
ENSMUSG00000025779,77,13,73,22
ENSMUSG00000100093,0,10,0,5
ENSMUSG00000091020,72,71,74,68
ENSMUSG00000101640,0,0,0,0
ENSMUSG00000104133,0,0,0,0
ENSMUSG00000042686,0,19,0,22
ENSMUSG00000100110,0,0,0,0
ENSMUSG00000025777,0,2,0,0
ENSMUSG00000099899,0,0,0,0
ENSMUSG00000100272,0,0,0,0
ENSMUSG00000100398,2,3,0,7
ENSMUSG00000101589,101,58,80,89
ENSMUSG00000102048,0,0,0,4
ENSMUSG00000089534,0,0,0,0
ENSMUSG00000067780,1,0,2,0
ENSMUSG00000100053,0,0,0,0
ENSMUSG00000085125,0,0,0,0
ENSMUSG00000025776,0,0,0,0
ENSMUSG00000099895,0,0,0,0
ENSMUSG00000100554,0,63,0,68
ENSMUSG00000099473,0,0,0,0
ENSMUSG00000099591,1,0,0,1
ENSMUSG00000109887,0,1,0,0
ENSMUSG00000102001,0,0,0,0
ENSMUSG00000101717,0,0,0,0
ENSMUSG00000025774,0,0,0,0
ENSMUSG00000070977,0,0,0,0
ENSMUSG00000073735,0,0,0,0
ENSMUSG00000067773,0,0,0,0
ENSMUSG00000101685,3,30,1,38
ENSMUSG00000101306,0,15,0,11
ENSMUSG00000088800,0,0,0,0
ENSMUSG00000101644,0,0,0,0
ENSMUSG00000099433,0,93,0,57
ENSMUSG00000089787,0,0,0,0
ENSMUSG00000042596,0,0,0,0
ENSMUSG00000100720,7,11,15,12
ENSMUSG00000025927,0,95,0,105
ENSMUSG00000100538,0,0,0,0
ENSMUSG00000101117,0,0,0,0
ENSMUSG00000100204,57,217,36,232
ENSMUSG00000102597,0,0,0,0
ENSMUSG00000043760,0,0,0,0
ENSMUSG00000104095,0,0,0,0
ENSMUSG00000089914,0,0,0,0
ENSMUSG00000090142,0,1,0,0
ENSMUSG00000070175,0,0,0,0
ENSMUSG00000099906,0,0,0,0
ENSMUSG00000065559,0,0,0,0
ENSMUSG00000065480,0,0,0,0
ENSMUSG00000025929,0,0,0,0
ENSMUSG00000041872,0,0,1,0
ENSMUSG00000041859,3870,304,3555,375
ENSMUSG00000099714,0,10,0,12
ENSMUSG00000102121,0,0,0,0
ENSMUSG00000088858,0,0,0,0
ENSMUSG00000097934,0,0,0,0
ENSMUSG00000025931,4,20,3,33
ENSMUSG00000077314,0,0,0,0
ENSMUSG00000100929,0,0,0,0
ENSMUSG00000041809,9,40,14,50
ENSMUSG00000041779,299,269,272,298
ENSMUSG00000099971,0,0,0,0
ENSMUSG00000100819,0,1,0,1
ENSMUSG00000025933,0,89,1,108
ENSMUSG00000102633,0,0,0,2
ENSMUSG00000025934,0,0,0,3
ENSMUSG00000099343,0,0,0,0
ENSMUSG00000096375,18,2,14,0
ENSMUSG00000025936,0,0,0,0
ENSMUSG00000093963,0,13,0,25
ENSMUSG00000067750,0,0,0,0
ENSMUSG00000086194,0,0,0,0
ENSMUSG00000094436,0,0,0,0
ENSMUSG00000041722,0,0,0,0
ENSMUSG00000085507,0,0,0,0
ENSMUSG00000094926,0,0,0,0
ENSMUSG00000085079,0,0,0,0
ENSMUSG00000085679,0,0,0,0
ENSMUSG00000028033,0,15,0,19
ENSMUSG00000104138,0,0,0,0
ENSMUSG00000082935,1193,158,1132,173
ENSMUSG00000103748,0,0,0,0
ENSMUSG00000099692,0,5,1,0
ENSMUSG00000100418,0,0,0,0
ENSMUSG00000041670,0,34,0,45
ENSMUSG00000097642,0,0,0,0
ENSMUSG00000101468,0,0,0,0
ENSMUSG00000101227,0,0,0,0
ENSMUSG00000073730,0,0,0,0
ENSMUSG00000089553,0,0,0,0
ENSMUSG00000102766,0,0,0,0
ENSMUSG00000065405,0,0,0,0
ENSMUSG00000097970,3,6,5,3
ENSMUSG00000065567,0,0,0,0
ENSMUSG00000100775,0,0,0,0
ENSMUSG00000101226,0,0,0,0
ENSMUSG00000026158,1116,33,1206,34
ENSMUSG00000097920,0,12,0,7
ENSMUSG00000099503,0,0,0,0
ENSMUSG00000026156,21,0,19,2
ENSMUSG00000026155,495,353,536,465
ENSMUSG00000026154,157,10,163,11
ENSMUSG00000102495,0,0,2,0
ENSMUSG00000026153,639,381,638,476
ENSMUSG00000102398,2,1,1,0
ENSMUSG00000097670,0,0,0,0
ENSMUSG00000026147,0,4,0,6
ENSMUSG00000026141,0,0,0,3
ENSMUSG00000077463,0,0,0,0
ENSMUSG00000099997,12,51,6,73
ENSMUSG00000100131,533,15,679,31
ENSMUSG00000067736,234,9,297,9
ENSMUSG00000101939,1156,36,1100,28
ENSMUSG00000101111,1118,55,1320,42
ENSMUSG00000100862,1826,96,2252,82
ENSMUSG00000102070,2026,146,2784,248
ENSMUSG00000101249,2159,24,2517,40
