Geneid,RAW1,RAW1yuan,RAW2,RAW2yuan,RAW3,RAW3yuan
ENSMUSG00000077318,0,0,0,0,0,0
ENSMUSG00000101827,0,0,0,0,0,0
ENSMUSG00000103494,0,0,0,1,0,0
ENSMUSG00000057715,0,0,0,0,0,0
ENSMUSG00000103825,0,0,0,0,0,0
ENSMUSG00000099845,0,0,0,0,0,0
ENSMUSG00000103561,0,0,0,0,0,0
ENSMUSG00000101610,0,1,1,0,3,3
ENSMUSG00000118923,0,0,0,0,0,0
ENSMUSG00000098555,0,0,0,0,0,0
ENSMUSG00000097628,0,0,2,0,0,1
ENSMUSG00000098163,0,0,0,0,0,0
ENSMUSG00000097171,0,0,0,0,0,0
ENSMUSG00000101314,0,0,0,0,0,0
ENSMUSG00000016918,0,0,0,2,0,1
ENSMUSG00000025938,0,0,0,0,0,0
ENSMUSG00000104518,0,0,0,0,0,0
ENSMUSG00000069620,0,0,0,0,0,0
ENSMUSG00000099498,0,0,0,0,0,0
ENSMUSG00000042414,3,1,4,0,4,0
ENSMUSG00000005886,1049,963,899,1010,1006,1032
ENSMUSG00000103506,1,2,0,2,2,0
ENSMUSG00000103495,0,2,0,0,0,0
ENSMUSG00000102639,0,3,0,0,1,0
ENSMUSG00000104170,0,0,0,1,2,0
ENSMUSG00000087782,0,0,0,1,0,0
ENSMUSG00000103085,10,6,11,2,13,8
ENSMUSG00000102664,6,4,10,1,5,9
ENSMUSG00000101476,0,0,1,1,0,1
ENSMUSG00000119076,0,0,0,0,0,0
ENSMUSG00000101171,2,1,0,1,2,2
ENSMUSG00000025935,2267,1969,1847,2181,2013,2451
ENSMUSG00000025937,475,476,476,457,481,538
ENSMUSG00000102982,18,12,19,11,15,17
ENSMUSG00000067813,0,0,0,0,0,0
ENSMUSG00000077368,0,0,0,0,0,0
ENSMUSG00000097711,2,0,2,0,0,2
ENSMUSG00000102166,0,0,0,0,0,0
ENSMUSG00000104209,0,0,0,0,0,0
ENSMUSG00000025932,0,0,1,0,0,0
ENSMUSG00000102588,0,0,0,0,0,0
ENSMUSG00000054493,0,0,0,0,0,0
ENSMUSG00000025930,0,0,0,0,0,0
ENSMUSG00000103492,0,0,0,0,0,0
ENSMUSG00000081201,7,4,9,10,8,8
ENSMUSG00000082193,113,132,133,120,149,146
ENSMUSG00000032769,0,0,0,0,0,0
ENSMUSG00000088159,0,0,0,0,0,0
ENSMUSG00000073737,12,4,14,9,16,8
ENSMUSG00000092083,0,0,0,0,2,0
ENSMUSG00000102937,0,0,0,0,0,0
ENSMUSG00000104149,3,1,6,0,6,2
ENSMUSG00000088829,0,0,0,0,0,0
ENSMUSG00000077377,0,0,0,0,0,0
ENSMUSG00000101652,0,0,0,0,0,1
ENSMUSG00000100814,0,0,0,0,0,0
ENSMUSG00000025925,256,264,237,322,259,333
ENSMUSG00000104379,2,0,3,0,2,1
ENSMUSG00000032719,0,0,2,0,0,3
ENSMUSG00000100652,0,0,0,0,0,0
ENSMUSG00000067795,0,0,0,1,0,0
ENSMUSG00000043716,5275,4700,5089,5097,4981,5127
ENSMUSG00000025921,134,209,127,202,113,244
ENSMUSG00000104165,0,1,0,0,0,0
ENSMUSG00000100868,0,0,0,0,0,0
ENSMUSG00000025920,521,409,515,386,501,465
ENSMUSG00000089982,0,1,0,1,0,0
ENSMUSG00000025939,460,361,432,344,426,404
ENSMUSG00000102457,8,3,7,3,7,5
ENSMUSG00000079658,735,748,791,702,760,812
ENSMUSG00000097744,0,1,0,0,0,1
ENSMUSG00000100959,0,0,0,0,0,0
ENSMUSG00000025940,561,578,596,611,577,613
