Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Hedgehog signaling pathway,0.2698876648888145,0.9532517849638424,0.6363636363636364,0.6683048662584595,44,43,KIF7;CSNK1G2;CDON;KIF3A;SMURF1;CUL1;DHH;CSNK1D;SMURF2;BTRC;PRKACA;GSK3B;PTCH2;CSNK1A1;SPOPL;CSNK1E;CSNK1G3;SMO;EVC2;EVC;GLI2;CUL3;GLI3;PTCH1;BOC;FBXW11;LRP2;HHIP;GAS1;IHH;CCND2;SUFU;GPR161;CCND1;SPOP;PRKACB;SHH;ARRB1;BCL2;CSNK1G1;GRK2;ARRB2;GLI1,KIF7;CSNK1G2;CDON;KIF3A;SMURF1;CUL1;DHH;CSNK1D;SMURF2;BTRC;PRKACA;GSK3B;PTCH2
Propanoate metabolism,0.31934860321089564,0.9339284766463177,0.4782608695652174,0.671879710581851,31,28,BCKDHA;ACAT2;HADHA;SUCLA2;SUCLG1;ACSS1;ECHDC1;ABAT;ECHS1;LDHB;PCCB;BCKDHB;EHHADH;PCCA;MCEE;ACSS3;SUCLG2;ACACA;ACACB;LDHA;DBT;ACADM;ALDH6A1;DLD;HIBCH;ACSS2;MLYCD;ACAT1,BCKDHA;ACAT2;HADHA;SUCLA2;SUCLG1;ACSS1;ECHDC1
Bladder cancer,-0.33720875731789013,-0.9214591446216105,0.569620253164557,0.6880452481239063,41,35,CDK4;MAP2K1;CDH1;MAPK3;MAP2K2;HBEGF;DAPK3;RAF1;CDKN2A;RPS6KA5;KRAS;ARAF;HRAS;EGFR;RASSF1;ERBB2;DAPK1;E2F3;FGFR3;RB1;MYC;NRAS;VEGFA;DAPK2;CCND1;MAPK1;EGF;TYMP;TRP53;BRAF;MDM2;CDKN1A;E2F2;MMP9;E2F1,BRAF;MDM2;CDKN1A;E2F2;MMP9;E2F1
Fatty acid degradation,-0.3303428051879877,-0.917486001565759,0.611764705882353,0.6924483731668734,50,41,ACAT2;CPT1B;HADHA;GCDH;ALDH7A1;ACADSB;ACAA1B;ECI1;HADH;ACSL3;HADHB;CPT1A;ECI3;ECHS1;CPT1C;EHHADH;CPT2;ACADVL;ACSL6;ACSBG2;ACADL;ECI2;ADH1;ADH5;ACSL4;ACOX1;ACSL1;ACADS;ADH4;ACSL5;ADH7;ACSBG1;ALDH9A1;ACADM;ACOX3;ACAA1A;ACAA2;ALDH2;ALDH3A2;ACAT1;ALDH1B1,ACSL5;ADH7;ACSBG1;ALDH9A1;ACADM;ACOX3;ACAA1A;ACAA2;ALDH2;ALDH3A2;ACAT1;ALDH1B1
Linoleic acid metabolism,0.29144756882070205,0.907753880672206,0.7037037037037037,0.717326226635514,50,29,CYP3A13;CYP2J13;PLA2G4D;PLB1;PLA2G4B;CYP2J9;CYP2J6;PLA2G4F;PLA2G6;PLA2G4C;CYP2J12;PLA2G2C;PLA2G10;ALOX15;PLA2G2F;PLA2G4E;CYP2J11;CYP2E1;PLA2G12A;PLA2G3;CYP1A2;PLA2G1B;PLA2G2D;CYP2C55;PLA2G2A;PLA2G5;CYP2C23;PLA2G4A;PLA2G2E,CYP3A13;CYP2J13;PLA2G4D;PLB1
Phenylalanine metabolism,-0.40510168870315044,-0.8998176065271349,0.6617647058823529,0.7206519973157208,23,15,ALDH3B3;MAOA;ALDH3B2;ALDH1A3;ALDH3A1;IL4I1;MAOB;GLYAT;4930438A08RIK;GOT2;GOT1;AOC3;AOC2;MIF;ALDH3B1,GOT1;AOC3;AOC2;MIF;ALDH3B1
Tryptophan metabolism,-0.3213258473841608,-0.9008263664313948,0.6538461538461539,0.7219968854093133,48,40,ACAT2;CAT;KYAT3;KYAT1;HADHA;GCDH;ALDH7A1;MAOA;AADAT;HADH;ECHS1;ASMT;ALDH8A1;IL4I1;MAOB;EHHADH;DHTKD1;AOX3;AOX1;DLST;CYP1B1;IDO2;CYP1A1;IDO1;ACMSD;KMO;AOX2;4930438A08RIK;CYP1A2;AANAT;ALDH9A1;TDO2;DLD;AFMID;HAAO;TPH2;ALDH2;ALDH3A2;ACAT1;ALDH1B1,AANAT;ALDH9A1;TDO2;DLD;AFMID;HAAO;TPH2;ALDH2;ALDH3A2;ACAT1;ALDH1B1
Wnt signaling pathway,-0.2727707843176438,-0.891770176522972,0.6896551724137931,0.7286251015434606,160,144,FZD9;DKK1;FRAT1;CAMK2B;PPP3CC;DVL2;RSPO2;CTNNB1;PRICKLE3;PEG12;WIF1;CTNNBIP1;APC;DAAM1;NLK;MAPK8;WNT9A;CUL1;AXIN1;RUVBL1;CSNK2B;DVL3;TCF7;DKK4;BTRC;PRKACA;GSK3B;LEF1;SERPINF1;LRP6;RBX1;PPP3R1;CHD8;CTBP1;VANGL2;PRICKLE2;MAPK9;CSNK1A1;APC2;LGR6;BAMBI;CTBP2;VANGL1;EP300;CSNK1E;RAC1;SIAH1A;CREBBP;PORCN;TBL1XR1;NFATC4;PLCB3;RHOA;PPP3CA;RNF43;NKD1;ROCK2;FZD3;PRICKLE1;FZD6;AXIN2;RSPO4;TCF7L2;TBL1X;SFRP5;FZD1;PLCB1;PRKCB;TCF7L1;GPC4;FBXW11;CCND3;DKK2;FZD8;CAMK2D;PPP3CB;ROR1;FZD10;LGR5;CSNK2A1;INVS;SFRP4;WNT4;CSNK2A2;JUN;SMAD4;RSPO3;ROR2;WNT8A;MYC;RYK;PSEN1;WNT5A;NOTUM;WNT2;MAPK10;RAC3;CCN4;RSPO1;DAAM2;WNT3;CCND2;4930544G11RIK;FRAT2;WNT11;PRICKLE4;CAMK2G;NFATC3;WNT7A;SOST;CCND1;PRKACB;4930444G20RIK;PRKCA;WNT5B;CXXC4;SMAD3;FZD4;MAP3K7;WNT16;SIAH1B;SFRP2;CACYBP;TRP53;WNT10A;DVL1;FOSL1;WNT10B;CAMK2A;ZNRF3;RAC2;NFATC1;PLCB2;SENP2;FZD5;LRP5;NFATC2;WNT7B;PPARD;WNT6;WNT2B;PLCB4;FZD7;PRKCG,NFATC1;PLCB2;SENP2;FZD5;LRP5;NFATC2;WNT7B;PPARD;WNT6;WNT2B;PLCB4;FZD7;PRKCG
Glutathione metabolism,-0.29319425442615343,-0.8934050070136124,0.675,0.729456922714437,64,58,GSTM4;GSTT2;GSTM3;GSTP1;TXNDC12;GGT1;GSTM7;NAT8;GPX4;GSTA4;GSTP2;GPX3;IDH1;IDH2;OPLAH;GSTM6;G6PD2;GSTA3;GPX8;GSTO2;G6PDX;GSTA1;GPX7;NAT8F2;MGST1;GSS;GSTA2;GSTM2;MGST3;GGT5;GGT7;GSTM5;PGD;LAP3;GSTK1;GCLM;GSTM1;CHAC1;GPX2;GSTO1;NAT8F1;SRM;GPX1;GGCT;MGST2;GCLC;GSTT4;CHAC2;GSR;RRM2;RRM2B;SMS;HPGDS;ODC1;RRM1;ANPEP;GSTT3;GSTT1,GCLC;GSTT4;CHAC2;GSR;RRM2;RRM2B;SMS;HPGDS;ODC1;RRM1;ANPEP;GSTT3;GSTT1
Olfactory transduction,-0.2729323499347485,-0.874081174997887,0.7526881720430108,0.758927979973712,1133,124,PRKG2;CNGB1;CAMK2B;OLFR284;GNB1;OLFR1418;PDE1A;PRKACA;OLFR290;CALM1;OLFR1279;OLFR1044;OLFR10;OLFR750;PDE1C;NCALD;OLFR834;GNG13;OLFR789;OLFR267;OLFR809;OLFR835;OLFR871;OLFR1357;OLFR654;OLFR1392;OLFR558;OLFR1420;OLFR1307;CAMK2D;OLFR564;OLFR98;SLC8A3;SLC8A1;OLFR1219;OLFR482;OLFR918;OLFR930;OLFR1152;OLFR788;OLFR1173;OLFR202;OLFR374;OLFR212;OLFR905;OLFR1358;OLFR57;OLFR591;OLFR97;OLFR1535;OLFR922;OLFR432;OLFR1423;OLFR1033;OLFR877;OLFR889;OLFR111;OLFR77;PRKG1;OLFR448;OLFR376;OLFR167;OLFR49;OLFR146;OLFR1393;OLFR58;OLFR556;CNGA4;OLFR1355;OLFR1354;OLFR857;OLFR266;OLFR661;OLFR935;OLFR433;OLFR545;OLFR912;OLFR549;OLFR943;OLFR455;OLFR543;ADCY3;GNAL;PDE2A;OLFR1353;OLFR648;OLFR984;OLFR1564;CAMK2G;OLFR173;OLFR354;OLFR447;OLFR102;RGS2;OLFR8;OLFR1446;OLFR1396;SLC24A4;PRKACB;OLFR934;OLFR78;OLFR460;ARRB1;OLFR1217;OLFR832;CALM3;OLFR99;OLFR1444;OLFR814;GNG7;OLFR933;OLFR1352;CALML4;CAMK2A;OLFR1351;OLFR56;CNGA3;GRK2;ARRB2;SLC8A2;OLFR920;PDE1B;OLFR1459;CALM2,OLFR455;OLFR543;ADCY3;GNAL;PDE2A;OLFR1353;OLFR648;OLFR984;OLFR1564;CAMK2G;OLFR173;OLFR354;OLFR447;OLFR102;RGS2;OLFR8;OLFR1446;OLFR1396;SLC24A4;PRKACB;OLFR934;OLFR78;OLFR460;ARRB1;OLFR1217;OLFR832;CALM3;OLFR99;OLFR1444;OLFR814;GNG7;OLFR933;OLFR1352;CALML4;CAMK2A;OLFR1351;OLFR56;CNGA3;GRK2;ARRB2;SLC8A2;OLFR920;PDE1B;OLFR1459;CALM2
