Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Pancreatic secretion,-0.6320519046524469,-1.3249042968864928,0.025,0.3609803770285215,98,78,ATP2A2;RAB8A;SLC9A1;ADCY3;RHOA;ATP1B3;SLC12A2;RAC1;PLCB3;SLC4A2;RAP1B;RAP1A;ITPR2;SLC26A3;BST1;TPCN2;PRSS3;CELA2A;ATP1A2;PLA2G5;PLCB2;CPB2;CPA2;PLA2G2F;PRKCB;ADCY2;AMY2A;ATP1A4;CHRM3;SCT;PLA2G10;CLCA1;CD38;PLA2G3;CFTR;PLA2G1B;PLA2G2A;PLA2G2C;RYR2;CTRB1;CLCA2;RAB11A;ATP2B3;ATP2B2;ATP2A1;ADCY1;ADCY4;CA2;CEL;CELA2B;ATP2B1;KCNMA1;KCNQ1;PLA2G12A;PRKCA;ADCY9;ATP1A1;GNAS;ATP1A3;ADCY6;PLCB4;ATP1B2;GNAQ;AMY2B;ITPR1;ADCY7;RAB3D;SCTR;PLCB1;TRPC1;RAB27B;PRKCG;ATP2A3;FXYD2;ITPR3;ADCY5;ATP2B4;ATP1B1,GNAQ;AMY2B;ITPR1;ADCY7;RAB3D;SCTR;PLCB1;TRPC1;RAB27B;PRKCG;ATP2A3;FXYD2;ITPR3;ADCY5;ATP2B4;ATP1B1
p53 signaling pathway,0.6202747972580127,1.2417328743132259,0.1527777777777778,0.36182064535554775,72,71,CCNB1;CCND1;GTSE1;RRM2;THBS1;CCNB2;CDK1;EI24;CDK2;CYCS;BCL2L1;CDK6;SIVA1;CHEK1;CDK4;AIFM2;SFN;PMAIP1;TNFRSF10B;CHEK2;BAX;CASP3;CCNE2;CCNE1;GADD45A;ATR;CCND3;SHISA5;APAF1;TP73;BID;CDKN2A;CDKN1A;RCHY1;RRM2B;DDB2;BCL2;COP1;PPM1D;MDM2;TSC2;TP53I3;PIDD1;GADD45B;GORAB;SIAH1;SERPINB5;SESN1;TP53AIP1;GADD45G;RPRM;ZMAT3;CASP9;TP53;SESN2;PTEN;FAS;ATM;MDM4;SESN3;CASP8;CCNG1;IGFBP3;PERP;CCND2;CD82;SERPINE1;BBC3;CCNG2;STEAP3;ADGRB1,CCNB1;CCND1;GTSE1;RRM2;THBS1;CCNB2;CDK1;EI24;CDK2;CYCS;BCL2L1;CDK6;SIVA1;CHEK1;CDK4;AIFM2;SFN;PMAIP1;TNFRSF10B;CHEK2;BAX;CASP3;CCNE2
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,-0.7208810873313682,-1.3093903960699442,0.125,0.36842670869752114,25,24,PIGU;DPM2;PIGS;PIGH;PIGA;PIGO;PIGX;PIGG;PIGW;PIGC;GPLD1;PIGB;PIGT;PIGK;PIGN;GPAA1;PIGV;PIGF;PIGP;PIGM;PIGQ;PIGL;PGAP1;PIGZ,PIGV;PIGF;PIGP;PIGM;PIGQ;PIGL;PGAP1;PIGZ
Cholesterol metabolism,-0.6465236674232648,-1.3141558465047354,0.10810810810810811,0.37258276888278,50,44,NCEH1;LDLR;VDAC3;LRPAP1;LDLRAP1;VDAC1;LCAT;SOAT1;TSPO;STARD3;VDAC2;LIPC;NPC1;SORT1;ABCG8;CETP;LPA;ANGPTL3;APOA2;PCSK9;STAR;SOAT2;LRP2;NPC2;APOA1;CYP7A1;APOA4;APOC2;VAPA;ABCG5;APOC1;CD36;CYP27A1;APOE;VAPB;OSBPL5;MYLIP;SCARB1;PLTP;ABCA1;LIPG;LIPA;LRP1;ANGPTL4,LIPG;LIPA;LRP1;ANGPTL4
Toll-like receptor signaling pathway,0.5988953619993599,1.2339539756711744,0.16455696202531644,0.3799375918825023,104,75,MAP2K3;IRAK1;NFKB1;AKT1;IL6;IRF3;MYD88;TICAM1;MAP2K1;TRAF3;RAC1;MAPK1;IKBKG;CHUK;TBK1;RELA;PIK3CB;RIPK1;AKT2;IKBKE;PIK3CD;MAP2K7;FADD;CXCL8;MAPK14;MAPK9;MAP2K4;PIK3R3;MAPK8;TIRAP;TLR4;IL12A;IFNAR1;TAB1;AKT3;TLR7;IKBKB;CD40;LBP;TLR3;PIK3R2;CCL5;NFKBIA;TICAM2;PIK3CA;TAB2;TLR6;TLR1;CD80;IRF7;MAP3K7;IL1B;STAT1;MAP3K8;IFNAR2;MAPK13;TOLLIP;MAPK12;TRAF6;MAPK10;CTSK;JUN;IRAK4;TLR5;MAP2K6;MAP2K2;PIK3R1;FOS;SPP1;CASP8;MAPK11;MAPK3;CD14;TLR2;IRF5,MAP2K3;IRAK1;NFKB1;AKT1;IL6;IRF3;MYD88;TICAM1;MAP2K1;TRAF3;RAC1;MAPK1;IKBKG;CHUK;TBK1;RELA;PIK3CB;RIPK1;AKT2;IKBKE;PIK3CD;MAP2K7;FADD;CXCL8
"Glycine, serine and threonine metabolism",0.689959097047182,1.2223644200533086,0.18571428571428572,0.3828337066656934,40,36,SHMT1;SHMT2;ALAS1;PGAM1;PSAT1;DLD;GCAT;PHGDH;PSPH;PGAM4;GLDC;BPGM;AOC2;CBS;CBSL;GLYCTK;CTH;GRHPR;SRR;SDS;AGXT2;AOC3;GCSH;DMGDH;CHDH;ALDH7A1;GNMT;GATM;AGXT;PIPOX;AMT;ALAS2;SARDH;SDSL;MAOA;GAMT,SHMT1;SHMT2;ALAS1;PGAM1;PSAT1;DLD;GCAT;PHGDH
Phototransduction,0.7343260291548093,1.2245091561985237,0.171875,0.3841838093657233,28,23,CALM3;CALM2;CALM1;GNB1;GNAT2;CALML4;PDE6G;GNGT1;SAG;GUCA1A;PDE6B;GRK7;RHO;GUCY2F;CNGB1;CNGA1;PDE6A;GUCY2D;GNAT1;CALML6;RGS9;GUCA1B;SLC24A1,CALM3;CALM2;CALM1;GNB1
Hepatocellular carcinoma,0.5821313094685239,1.2294642434311696,0.07317073170731707,0.3867276850828103,168,162,CCND1;ACTB;E2F1;TXNRD1;WNT5B;E2F2;NQO1;BCL2L1;CDK6;ACTL6A;SMARCD1;ACTG1;TERT;AKT1;GRB2;CDK4;KEAP1;WNT7A;ELK1;PBRM1;HMOX1;BAX;ARID1A;SMARCC1;NRAS;RPS6KB2;RAF1;DPF1;GSTO1;GSTP1;CTNNB1;GADD45A;ARID1B;MTOR;SHC1;MAP2K1;E2F3;CSNK1A1;ARAF;TGFB1;SMARCA4;MAPK1;MET;RPS6KB1;FZD6;TGFB2;BRD7;CDKN2A;TXNRD2;PIK3CB;EGFR;BAK1;SMARCD2;DVL3;AKT2;DPF3;PIK3CD;CDKN1A;APC;NFE2L2;DDB2;WNT7B;SMARCB1;MYC;HRAS;PIK3R3;SMARCE1;AXIN1;RB1;SMARCC2;DVL1;BAD;ARID2;SMAD3;SMAD2;WNT3A;LEF1;KRAS;TERC;APC2;AKT3;WNT8A;GADD45B;GSK3B;ACTL6B;PRKCB;TCF7L2;CSNK1A1L;TCF7;IGF2;POLK;TGFB3;WNT16;SHC4;HGF;WNT1;WNT3;PIK3R2;WNT2;SOS1;GADD45G;PIK3CA;GSTM5;SOS2;GSTM1;FZD9;WNT10B;PLCG1;FZD5;LRP6;MGST3;WNT8B;TCF7L1;MGST2;TP53;DVL2;GSTT2B;SMAD4;PTEN;PRKCA;MGST1;GSTO2;GSTM2;GSTT2;GAB1;SHC3;PLCG2;WNT4;BRAF;FRAT2;LRP5;GSTM3;PHF10;FZD3;MAP2K2;PIK3R1;GSTA4;SMARCA2;FZD2;FZD1;TXNRD3;WNT2B;FZD4;GSTM4;FZD10;MAPK3;AXIN2;FRAT1;TGFBR2;WNT10A;WNT11;WNT6;IGF1R;TGFBR1;WNT5A;PRKCG;WNT9A;FZD8;FZD7;TGFA;SHC2;SMARCD3,CCND1;ACTB;E2F1;TXNRD1;WNT5B;E2F2;NQO1;BCL2L1;CDK6;ACTL6A;SMARCD1;ACTG1;TERT;AKT1;GRB2;CDK4;KEAP1;WNT7A;ELK1;PBRM1;HMOX1;BAX;ARID1A;SMARCC1;NRAS;RPS6KB2;RAF1;DPF1;GSTO1;GSTP1;CTNNB1;GADD45A;ARID1B;MTOR;SHC1;MAP2K1;E2F3;CSNK1A1;ARAF;TGFB1;SMARCA4;MAPK1
NF-kappa B signaling pathway,0.6058384766670445,1.2254091528375892,0.09859154929577464,0.3870251417674512,95,83,MAP3K14;PARP1;IRAK1;MALT1;NFKB1;BCL2L1;CXCL2;TRIM25;TRAF2;MYD88;TICAM1;RELB;PLAU;TRAF3;IKBKG;UBE2I;BCL10;CHUK;RELA;RIPK1;NFKB2;PIAS4;CXCL8;BCL2;CSNK2A3;TNFAIP3;CSNK2A1;BIRC2;BCL2A1;TIRAP;ERC1;TLR4;CARD10;LYN;DDX58;BTK;PIDD1;XIAP;ICAM1;TAB1;CCL19;CSNK2B;GADD45B;IKBKB;SYK;PRKCB;TNFSF13B;CD40;CCL13;BLNK;LBP;CARD11;CARD14;TNFSF14;CCL21;NFKBIA;TICAM2;TAB2;LAT;ZAP70;CSNK2A2;PLCG1;MAP3K7;IL1B;TRAF1;TRAF6;PLCG2;ATM;IRAK4;CXCL12;LTBR;TNFRSF1A;TAB3;IL1R1;BIRC3;TNFRSF11A;PRKCQ;TNFRSF13C;CD14;PTGS2;TRADD;TRAF5;CFLAR,MAP3K14;PARP1;IRAK1;MALT1;NFKB1;BCL2L1;CXCL2;TRIM25;TRAF2;MYD88;TICAM1;RELB;PLAU;TRAF3;IKBKG;UBE2I;BCL10;CHUK;RELA
Glyoxylate and dicarboxylate metabolism,0.7091231334604734,1.226776745487193,0.25862068965517243,0.3884846355865576,30,27,SHMT1;SHMT2;ACO1;ACAT2;MDH2;PGP;CS;DLD;ACO2;MDH1;ACAT1;GLDC;PCCB;GLYCTK;AFMID;GRHPR;GCSH;GLUL;AGXT;MMUT;HOGA1;PCCA;AMT;ACSS1;MCEE;ACSS2;CAT,SHMT1;SHMT2;ACO1;ACAT2;MDH2;PGP;CS;DLD;ACO2;MDH1
